backend,version,threads,512,1024,2048
openmp,openmp_default,1,1.0,1.0,1.0
openmp,openmp_default,2,0.6794800818215452,0.6371072583840751,0.5382376712107598
openmp,openmp_default,3,0.6642752456571442,0.5575243208072015,0.44676661530684963
openmp,openmp_default,4,0.3911270599411516,0.13923185131886118,0.369586060108099
openmp,openmp_default,5,0.4675992503440013,0.2952284626186017,0.33936613067929733
openmp,openmp_default,6,0.36503272000389525,0.13243097820453956,0.3227403017318012
openmp,openmp_default,7,0.4391111616860254,0.270662252396873,0.23165580633723898
openmp,openmp_default,8,0.29327213013941184,0.16099358526511837,0.22793971879016953
openmp,openmp_dynamic1,1,1.0,1.0,1.0
openmp,openmp_dynamic1,2,2.8775468878332617,1.314994602803013,0.5257315925866292
openmp,openmp_dynamic1,3,2.013170719941311,0.7817682692829039,0.4850702323727671
openmp,openmp_dynamic1,4,1.7888421456125148,0.5754392356058555,0.5230107208110667
openmp,openmp_dynamic1,5,1.4624261064749555,0.44028195014220095,0.389750765527153
openmp,openmp_dynamic1,6,0.6765990262889844,0.1462258992689006,0.2417695529992804
openmp,openmp_dynamic1,7,1.2945563546382004,0.39732160541145356,0.23474751189146284
openmp,openmp_dynamic1,8,0.5422904239445776,0.10100524125493603,0.19753911887078263
openmp,openmp_static1,1,1.0,1.0,1.0
openmp,openmp_static1,2,1.0768768181242718,1.6376512611490293,0.5211362989168534
openmp,openmp_static1,3,0.5159291520522433,0.7210976948089086,0.45349124822517
openmp,openmp_static1,4,0.9747642410088051,1.2057326852871222,0.49184732460673153
openmp,openmp_static1,5,0.8799287135703547,0.9688722747435182,0.2789391673571959
openmp,openmp_static1,6,0.6718344513577095,0.8143235526496714,0.2365604339734183
openmp,openmp_static1,7,0.4255868505336783,0.5325523954607484,0.25876910876980375
openmp,openmp_static1,8,0.49961248321616825,0.4296351054709823,0.2583677539058058
pthreads_parallel_for,parallel_for_row_block,1,1.0,1.0,1.0
pthreads_parallel_for,parallel_for_row_block,2,0.6578420555687681,0.39680385319292655,0.558748905967037
pthreads_parallel_for,parallel_for_row_block,3,0.2796032399136508,0.20638586055682354,0.31932985655343027
pthreads_parallel_for,parallel_for_row_block,4,0.41666486819100573,0.22598631866164023,0.25826133982322413
pthreads_parallel_for,parallel_for_row_block,5,0.23341777547853076,0.06634358251348313,0.17595830366433315
pthreads_parallel_for,parallel_for_row_block,6,0.1468064210299763,0.06035498168128475,0.14543505479668287
pthreads_parallel_for,parallel_for_row_block,7,0.09402391320069921,0.051985231159696964,0.21264760581971492
pthreads_parallel_for,parallel_for_row_block,8,0.27227683619204807,0.1272187053139966,0.2171354968033429
