backend,version,threads,512,1024,2048
openmp,openmp_default,1,1.0,1.0,1.0
openmp,openmp_default,2,1.3589601636430904,1.2742145167681502,1.0764753424215197
openmp,openmp_default,3,1.9928257369714328,1.6725729624216044,1.3402998459205488
openmp,openmp_default,4,1.5645082397646064,0.5569274052754447,1.478344240432396
openmp,openmp_default,5,2.3379962517200066,1.4761423130930085,1.6968306533964865
openmp,openmp_default,6,2.1901963200233716,0.7945858692272373,1.936441810390807
openmp,openmp_default,7,3.0737781318021775,1.894635766778111,1.621590644360673
openmp,openmp_default,8,2.3461770411152947,1.287948682120947,1.8235177503213562
openmp,openmp_dynamic1,1,1.0,1.0,1.0
openmp,openmp_dynamic1,2,5.7550937756665235,2.629989205606026,1.0514631851732583
openmp,openmp_dynamic1,3,6.039512159823933,2.3453048078487115,1.4552106971183012
openmp,openmp_dynamic1,4,7.155368582450059,2.301756942423422,2.092042883244267
openmp,openmp_dynamic1,5,7.312130532374778,2.201409750711005,1.948753827635765
openmp,openmp_dynamic1,6,4.0595941577339065,0.8773553956134036,1.4506173179956825
openmp,openmp_dynamic1,7,9.061894482467403,2.781251237880175,1.64323258324024
openmp,openmp_dynamic1,8,4.338323391556621,0.8080419300394882,1.580312950966261
openmp,openmp_static1,1,1.0,1.0,1.0
openmp,openmp_static1,2,2.1537536362485437,3.2753025222980585,1.0422725978337068
openmp,openmp_static1,3,1.54778745615673,2.163293084426726,1.36047374467551
openmp,openmp_static1,4,3.8990569640352204,4.822930741148489,1.9673892984269261
openmp,openmp_static1,5,4.399643567851774,4.844361373717591,1.3946958367859796
openmp,openmp_static1,6,4.031006708146257,4.8859413158980285,1.4193626038405098
openmp,openmp_static1,7,2.979107953735748,3.727866768225239,1.8113837613886263
openmp,openmp_static1,8,3.996899865729346,3.4370808437678586,2.0669420312464464
pthreads_parallel_for,parallel_for_row_block,1,1.0,1.0,1.0
pthreads_parallel_for,parallel_for_row_block,2,1.3156841111375361,0.7936077063858531,1.117497811934074
pthreads_parallel_for,parallel_for_row_block,3,0.8388097197409525,0.6191575816704706,0.9579895696602908
pthreads_parallel_for,parallel_for_row_block,4,1.666659472764023,0.9039452746465609,1.0330453592928965
pthreads_parallel_for,parallel_for_row_block,5,1.1670888773926538,0.3317179125674157,0.8797915183216658
pthreads_parallel_for,parallel_for_row_block,6,0.8808385261798577,0.3621298900877085,0.8726103287800973
pthreads_parallel_for,parallel_for_row_block,7,0.6581673924048944,0.36389661811787877,1.4885332407380045
pthreads_parallel_for,parallel_for_row_block,8,2.1782146895363845,1.0177496425119728,1.7370839744267432
