version,processes,128,256,512,1024,2048
mpi_v1_p2p,1,0.0011766666666666,0.0112866666666666,0.1230333333333333,0.997698,23.44505266666667
mpi_v1_p2p,2,0.0014983333333333,0.0076313333333333,0.0629693333333333,0.609451,19.172559333333336
mpi_v1_p2p,4,0.0024976666666666,0.0055273333333333,0.0488669999999999,1.121589333333333,15.619476
mpi_v1_p2p,8,0.0021216666666666,0.0115803333333333,0.058667,0.9235423333333334,13.665170333333334
mpi_v1_p2p,16,0.0033883333333333,0.008727,0.0577923333333333,1.1125453333333335,12.829863
mpi_v2_collective,1,0.001708,0.0134173333333333,0.1210906666666666,0.9536016666666668,21.418601666666664
mpi_v2_collective,2,0.002042,0.0061846666666666,0.062853,0.6360733333333334,20.577133333333332
mpi_v2_collective,4,0.004559,0.0090023333333333,0.0512936666666666,0.6941696666666667,15.334143
mpi_v2_collective,8,0.0054853333333333,0.0098746666666666,0.064415,1.165934,12.784245666666664
mpi_v2_collective,16,0.0153826666666666,0.013878,0.0841106666666666,0.9687086666666668,10.901446
