version,processes,128,256,512,1024,2048
mpi_v1_p2p,1,1.0,1.0,1.0,1.0,1.0
mpi_v1_p2p,2,0.39265850945493647,0.7394950642089618,0.9769305693776869,0.8185219156257025,0.6114220918306195
mpi_v1_p2p,4,0.11777659148538283,0.5104933059944519,0.6294295400440664,0.22238487170586504,0.37525350829097387
mpi_v1_p2p,8,0.06932443047918128,0.12183011427420014,0.2621433969125175,0.13503685266908896,0.2144599380649262
mpi_v1_p2p,16,0.021704377766846007,0.08083151904052509,0.13305542257623565,0.05604816552793653,0.11421133582382499
mpi_v2_collective,1,1.0,1.0,1.0,1.0,1.0
mpi_v2_collective,2,0.4182174338883448,1.0847256656246722,0.9632847013401634,0.7496004129502888,0.5204466851553666
mpi_v2_collective,4,0.09366089054617242,0.3726071018624806,0.5901833234772329,0.3434324893673929,0.34919789235477106
mpi_v2_collective,8,0.03892197374817719,0.1698453956251695,0.23498150016818015,0.10223581123231104,0.2094237922315688
mpi_v2_collective,16,0.006939629019675856,0.06042537349281822,0.08997867888337589,0.0615253132520751,0.12279679266096136
