version,backend,m,n,threads,status,avg_time_sec,checksum,iterations,grid
openmp_original,openmp,64,64,1,ok,0.000756611,306190.72088,179,64x64
openmp_original,openmp,64,64,2,ok,0.000540931,306190.72088,179,64x64
openmp_original,openmp,64,64,4,ok,0.000846944,306190.72088,179,64x64
openmp_original,openmp,64,64,8,ok,0.001499708,306190.72088,179,64x64
openmp_original,openmp,128,128,1,ok,0.002596292,1226240.11987,181,128x128
openmp_original,openmp,128,128,2,ok,0.001627597,1226240.11987,181,128x128
openmp_original,openmp,128,128,4,ok,0.001280139,1226240.11987,181,128x128
openmp_original,openmp,128,128,8,ok,0.001617167,1226240.11987,181,128x128
openmp_original,openmp,256,256,1,ok,0.011782611,4909462.95452,181,256x256
openmp_original,openmp,256,256,2,ok,0.006825973,4909462.95452,181,256x256
openmp_original,openmp,256,256,4,ok,0.015517458,4909462.95452,181,256x256
openmp_original,openmp,256,256,8,ok,0.006505361,4909462.95452,181,256x256
openmp_original,openmp,512,512,1,ok,0.039066653,19648674.3049,181,512x512
openmp_original,openmp,512,512,2,ok,0.023342903,19648674.3049,181,512x512
openmp_original,openmp,512,512,4,ok,0.029385292,19648674.3049,181,512x512
openmp_original,openmp,512,512,8,ok,0.024034111,19648674.3049,181,512x512
pthreads_parallel_for_block,pthreads_parallel_for,64,64,1,ok,0.022387194,306190.72088,179,64x64
pthreads_parallel_for_block,pthreads_parallel_for,64,64,2,ok,0.03186775,306190.72088,179,64x64
pthreads_parallel_for_block,pthreads_parallel_for,64,64,4,ok,0.041562126,306190.72088,179,64x64
pthreads_parallel_for_block,pthreads_parallel_for,64,64,8,ok,0.073276486,306190.72088,179,64x64
pthreads_parallel_for_block,pthreads_parallel_for,128,128,1,ok,0.026502945,1226240.11987,181,128x128
pthreads_parallel_for_block,pthreads_parallel_for,128,128,2,ok,0.027802736,1226240.11987,181,128x128
pthreads_parallel_for_block,pthreads_parallel_for,128,128,4,ok,0.041363945,1226240.11987,181,128x128
pthreads_parallel_for_block,pthreads_parallel_for,128,128,8,ok,0.0738185,1226240.11987,181,128x128
pthreads_parallel_for_block,pthreads_parallel_for,256,256,1,ok,0.035558347,4909462.95452,181,256x256
pthreads_parallel_for_block,pthreads_parallel_for,256,256,2,ok,0.031690986,4909462.95452,181,256x256
pthreads_parallel_for_block,pthreads_parallel_for,256,256,4,ok,0.053242764,4909462.95452,181,256x256
pthreads_parallel_for_block,pthreads_parallel_for,256,256,8,ok,0.080367667,4909462.95452,181,256x256
pthreads_parallel_for_block,pthreads_parallel_for,512,512,1,ok,0.059471375,19648674.3049,181,512x512
pthreads_parallel_for_block,pthreads_parallel_for,512,512,2,ok,0.049033486,19648674.3049,181,512x512
