threads,128x128,256x256,512x512,64x64
1,0.026502945,0.035558347,0.059471375,0.022387194
2,0.027802736,0.031690986,0.049033486,0.03186775
4,0.041363945,0.053242764,0.056848056,0.041562126
8,0.0738185,0.080367667,0.078016528,0.073276486
