threads,128x128,256x256,512x512,64x64
1,0.002596292,0.011782611,0.039066653,0.000756611
2,0.001627597,0.006825973,0.023342903,0.000540931
4,0.001280139,0.015517458,0.029385292,0.000846944
8,0.001617167,0.006505361,0.024034111,0.001499708
