backend,num_procs,64,128,256,512,1024,2048,4096,8192
mpi,2,720.316,1039.003,1379.076,1700.146,1813.982,2194.99,2471.608,2967.158
mpi,4,285.736,371.893,425.776,622.889,779.974,979.474,1181.839,1190.13
mpi,8,87.32,133.173,152.096,230.779,295.47,382.673,502.023,513.853
serial,1,11342.916,12069.199,12596.825,13640.766,13316.548,13728.293,10823.311,9383.205
