threads,128x128,256x256,512x512,64x64
1,0.030773805,0.047488875,0.071141958,0.0336555
2,0.037219319,0.041953292,0.067379445,0.032557417
4,0.056447181,0.05700032,0.078455695,0.048632194
8,0.082480111,0.086951917,0.092015305,0.087742806
