version,backend,m,n,threads,status,avg_time_sec,checksum,iterations
pthreads_parallel_for_cyclic,pthreads_parallel_for,128,128,2,ok,0.038267833,1226240.11987,181
pthreads_parallel_for_cyclic,pthreads_parallel_for,128,128,4,ok,0.049451931,1226240.11987,181
pthreads_parallel_for_cyclic,pthreads_parallel_for,128,128,8,ok,0.079110875,1226240.11987,181
pthreads_parallel_for_cyclic,pthreads_parallel_for,256,256,1,ok,0.035522889,4909462.95452,181
pthreads_parallel_for_cyclic,pthreads_parallel_for,256,256,2,ok,0.046568153,4909462.95452,181
pthreads_parallel_for_cyclic,pthreads_parallel_for,256,256,4,ok,0.055794194,4909462.95452,181
pthreads_parallel_for_cyclic,pthreads_parallel_for,256,256,8,ok,0.087988278,4909462.95452,181
pthreads_parallel_for_cyclic,pthreads_parallel_for,512,512,1,ok,0.072840056,19648674.3049,181
pthreads_parallel_for_cyclic,pthreads_parallel_for,512,512,2,ok,0.060067903,19648674.3049,181
pthreads_parallel_for_cyclic,pthreads_parallel_for,512,512,4,ok,0.074161236,19648674.3049,181
pthreads_parallel_for_cyclic,pthreads_parallel_for,512,512,8,ok,0.102142194,19648674.3049,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,64,64,1,ok,0.033655500,306190.72088,179
pthreads_parallel_for_dynamic,pthreads_parallel_for,64,64,2,ok,0.032557417,306190.72088,179
pthreads_parallel_for_dynamic,pthreads_parallel_for,64,64,4,ok,0.048632194,306190.72088,179
pthreads_parallel_for_dynamic,pthreads_parallel_for,64,64,8,ok,0.087742806,306190.72088,179
pthreads_parallel_for_dynamic,pthreads_parallel_for,128,128,1,ok,0.030773805,1226240.11987,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,128,128,2,ok,0.037219319,1226240.11987,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,128,128,4,ok,0.056447181,1226240.11987,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,128,128,8,ok,0.082480111,1226240.11987,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,256,256,1,ok,0.047488875,4909462.95452,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,256,256,2,ok,0.041953292,4909462.95452,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,256,256,4,ok,0.057000320,4909462.95452,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,256,256,8,ok,0.086951917,4909462.95452,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,512,512,1,ok,0.071141958,19648674.3049,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,512,512,2,ok,0.067379445,19648674.3049,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,512,512,4,ok,0.078455695,19648674.3049,181
pthreads_parallel_for_dynamic,pthreads_parallel_for,512,512,8,ok,0.092015305,19648674.3049,181
