experiment,version,status,threads,time_sec,m,n,k,length
pthreads_array_sum,v1_local_sum,ok,16,0.001931736,,,,16000000
pthreads_array_sum,v1_local_sum,ok,16,0.003724973,,,,32000000
pthreads_array_sum,v1_local_sum,ok,16,0.007302722,,,,64000000
pthreads_array_sum,v1_local_sum,ok,16,0.013891069,,,,128000000
pthreads_array_sum,v2_mutex_shared_sum,ok,1,0.000754111,,,,1000000
pthreads_array_sum,v2_mutex_shared_sum,ok,1,0.001277098,,,,2000000
pthreads_array_sum,v2_mutex_shared_sum,ok,1,0.002456792,,,,4000000
pthreads_array_sum,v2_mutex_shared_sum,ok,1,0.004829792,,,,8000000
pthreads_array_sum,v2_mutex_shared_sum,ok,1,0.009685278,,,,16000000
pthreads_array_sum,v2_mutex_shared_sum,ok,1,0.020141833,,,,32000000
pthreads_array_sum,v2_mutex_shared_sum,ok,1,0.045505098,,,,64000000
pthreads_array_sum,v2_mutex_shared_sum,ok,1,0.089849652,,,,128000000
pthreads_array_sum,v2_mutex_shared_sum,ok,2,0.000447416,,,,1000000
pthreads_array_sum,v2_mutex_shared_sum,ok,2,0.000677695,,,,2000000
pthreads_array_sum,v2_mutex_shared_sum,ok,2,0.001232930,,,,4000000
pthreads_array_sum,v2_mutex_shared_sum,ok,2,0.002417445,,,,8000000
pthreads_array_sum,v2_mutex_shared_sum,ok,2,0.004926125,,,,16000000
pthreads_array_sum,v2_mutex_shared_sum,ok,2,0.009754278,,,,32000000
pthreads_array_sum,v2_mutex_shared_sum,ok,2,0.019250819,,,,64000000
pthreads_array_sum,v2_mutex_shared_sum,ok,2,0.037542680,,,,128000000
pthreads_array_sum,v2_mutex_shared_sum,ok,4,0.000267403,,,,1000000
pthreads_array_sum,v2_mutex_shared_sum,ok,4,0.000384639,,,,2000000
pthreads_array_sum,v2_mutex_shared_sum,ok,4,0.000669625,,,,4000000
pthreads_array_sum,v2_mutex_shared_sum,ok,4,0.001313278,,,,8000000
pthreads_array_sum,v2_mutex_shared_sum,ok,4,0.002914861,,,,16000000
pthreads_array_sum,v2_mutex_shared_sum,ok,4,0.005109445,,,,32000000
pthreads_array_sum,v2_mutex_shared_sum,ok,4,0.010223292,,,,64000000
pthreads_array_sum,v2_mutex_shared_sum,ok,4,0.021210459,,,,128000000
pthreads_array_sum,v2_mutex_shared_sum,ok,8,0.000284958,,,,1000000
pthreads_array_sum,v2_mutex_shared_sum,ok,8,0.000376167,,,,2000000
pthreads_array_sum,v2_mutex_shared_sum,ok,8,0.000633903,,,,4000000
pthreads_array_sum,v2_mutex_shared_sum,ok,8,0.001328445,,,,8000000
pthreads_array_sum,v2_mutex_shared_sum,ok,8,0.001746597,,,,16000000
pthreads_array_sum,v2_mutex_shared_sum,ok,8,0.003527625,,,,32000000
pthreads_array_sum,v2_mutex_shared_sum,ok,8,0.006859819,,,,64000000
pthreads_array_sum,v2_mutex_shared_sum,ok,8,0.013257944,,,,128000000
pthreads_array_sum,v2_mutex_shared_sum,ok,16,0.000218903,,,,1000000
pthreads_array_sum,v2_mutex_shared_sum,ok,16,0.000367305,,,,2000000
pthreads_array_sum,v2_mutex_shared_sum,ok,16,0.000548083,,,,4000000
pthreads_array_sum,v2_mutex_shared_sum,ok,16,0.001113166,,,,8000000
pthreads_array_sum,v2_mutex_shared_sum,ok,16,0.001820264,,,,16000000
pthreads_array_sum,v2_mutex_shared_sum,ok,16,0.003467931,,,,32000000
pthreads_array_sum,v2_mutex_shared_sum,ok,16,0.006716667,,,,64000000
pthreads_array_sum,v2_mutex_shared_sum,ok,16,0.018160653,,,,128000000
