version,threads,1000000,2000000,4000000,8000000,16000000,32000000,64000000,128000000
v1_local_sum,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
v1_local_sum,2,2.8174257233051807,2.5738229054870425,3.230934826432972,3.2145542322416,3.321968104713445,1.9729068324432084,2.080394096316739,1.6387546964756805
v1_local_sum,4,3.7037258597920926,4.21192860422207,4.216025944149094,5.090787779011242,5.123925334563,4.196349535600831,3.6745261717425537,3.5868642826233486
v1_local_sum,8,4.025109478306736,4.859923287397394,6.763568125321149,6.538112227507176,8.014713155093908,5.725035258822182,6.206442377342481,2.4290260066511946
v1_local_sum,16,3.5805965860525,2.9593629414127647,6.027760974666409,6.974199561656477,7.777014560995912,6.167990210935757,5.777240732976005,5.8250536369807095
v2_mutex_shared_sum,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
v2_mutex_shared_sum,2,1.6854806265310136,1.884473103682335,1.9926451623368726,1.9978911619499102,1.9661047983963056,2.064923000964295,2.363800625833114,2.3932668632074217
v2_mutex_shared_sum,4,2.820129168333938,3.320250936592493,3.6689072241926457,3.6776615461463606,3.3227237936903338,3.942078444919165,4.451119854543918,4.236101255517384
v2_mutex_shared_sum,8,2.64639350360404,3.3950293353749794,3.875659209689811,3.6356732871891575,5.545227662706394,5.709743240849013,6.6335712356258965,6.777042654577512
v2_mutex_shared_sum,16,3.4449550714243298,3.4769415063775333,4.482518158746029,4.338788644281267,5.32080950895035,5.808025880561061,6.774952219605349,4.947490159081835
