version,threads,1000000,2000000,4000000,8000000,16000000,32000000,64000000,128000000
v1_local_sum,1,0.000984417,0.001944917,0.003896194,0.007557417,0.015023139,0.022975597,0.042189583,0.080916222
v1_local_sum,2,0.000349403,0.000755653,0.001205903,0.002351,0.004522361,0.011645556,0.020279611,0.049376653
v1_local_sum,4,0.000265791,0.000461764,0.000924139,0.001484528,0.002931959,0.005475139,0.011481639,0.022559042
v1_local_sum,8,0.000244569,0.000400195,0.000576056,0.001155902,0.001874445,0.00401318,0.006797708,0.033312209
v1_local_sum,16,0.000274931,0.000657208,0.000646375,0.001083625,0.001931736,0.003724973,0.007302722,0.013891069
v2_mutex_shared_sum,1,0.000754111,0.001277098,0.002456792,0.004829792,0.009685278,0.020141833,0.045505098,0.089849652
v2_mutex_shared_sum,2,0.000447416,0.000677695,0.00123293,0.002417445,0.004926125,0.009754278,0.019250819,0.03754268
v2_mutex_shared_sum,4,0.000267403,0.000384639,0.000669625,0.001313278,0.002914861,0.005109445,0.010223292,0.021210459
v2_mutex_shared_sum,8,0.000284958,0.000376167,0.000633903,0.001328445,0.001746597,0.003527625,0.006859819,0.013257944
v2_mutex_shared_sum,16,0.000218903,0.000367305,0.000548083,0.001113166,0.001820264,0.003467931,0.006716667,0.018160653
