version,threads,128,256,512,1024,2048
v1_row_block,1,1.0,1.0,1.0,1.0,1.0
v1_row_block,2,1.9094094368492665,1.8953403278135927,1.9721518598857046,1.7713987888281668,1.2214517805630578
v1_row_block,4,2.6843348055484837,2.8252632245379607,2.425906538668419,1.8436124042563227,1.8927474073787893
v1_row_block,8,2.1830873819233787,3.0698805218742944,3.045649630748713,1.3918175108080182,2.5290115261569395
v1_row_block,16,2.358692618375254,3.6799867533241857,3.5483837476465254,2.046663807070519,3.003407296453862
v2_cyclic_rows,1,1.0,1.0,1.0,1.0,1.0
v2_cyclic_rows,2,3.1533872547170274,3.1935269759393434,2.4781200980276026,1.3998660234860665,1.0716467602736375
v2_cyclic_rows,4,3.993825839650491,4.308088526591338,3.0292273833193804,1.9303341328603942,1.6637585948375018
v2_cyclic_rows,8,4.300033774489301,5.768150217977098,4.315061144328272,1.9559941220353598,1.8950984179757262
v2_cyclic_rows,16,3.7300437328531904,5.829822496970007,4.652570633242688,1.687275641718552,2.3272586820659424
